DESC_PROVEEDOR,LLAVE_PRODUCTO,COD_PRODUCTO,DESCRIPCION_PRODUCTO,GRUPO,DIVISION,LINEA,SUBLINEA,CATEGORIA,SUBCATEGORIA,FAMILIA,FECHA_CREACION,FECHA_MODIFICACION,DW_HASH,ID_GRUPO,ID_DIVISION,ID_LINEA,ID_SUBLINEA,ID_CATEGORIA,ID_SUBCATEGORIA,ID_FAMILIA,ID_PROVEEDOR,PRODUCTO_CORBETA
AGROFRUT RENGO S.A.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
AGROINDUSTRIAL MONTAA AZUL INTERNACIONA,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
AGROPANELA SANTA HELENA SAS,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
AGROPECU Y COMERCIALIZADO SAN CARLOS SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
AGROVIVAS S.A.S.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
AGUIRRE GUTIERREZ,34,34,34,34,34,34,34,34,0,0,34,0,34,34,34,34,34,34,0,0,34,34
AIDA YURI GUEJIA DAGUA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AIG SEGUROS COLOMBIA S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AIMCO  SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AIRTEK ENGINEERING SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
AJECOLOMBIA SA,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
AJINOMOTO DEL PERU SA (SUCURSAL COLMBIA),11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,0,0,11,11
AJINOMOTO DO BRA IND E COM DE ALIM LTDA,43,43,43,43,43,43,43,43,0,0,40,43,43,43,43,43,43,43,0,0,43,43
AJOVER SAS,159,159,159,159,159,159,159,159,0,0,159,159,159,159,159,159,159,159,0,0,159,159
ALALCO SOCIEDAD SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ALAMAR,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ALBECOR SAS,25,25,25,25,25,25,25,25,0,0,25,25,25,25,25,25,25,25,0,0,25,25
ALBERTO ERASMO PONCE BRAVO,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ALEJANDRO GONZALEZ,16,16,16,16,16,16,16,16,0,0,16,16,16,16,16,16,16,16,0,0,16,16
