DESC_PROVEEDOR,LLAVE_PRODUCTO,COD_PRODUCTO,DESCRIPCION_PRODUCTO,GRUPO,DIVISION,LINEA,SUBLINEA,CATEGORIA,SUBCATEGORIA,FAMILIA,FECHA_CREACION,FECHA_MODIFICACION,DW_HASH,ID_GRUPO,ID_DIVISION,ID_LINEA,ID_SUBLINEA,ID_CATEGORIA,ID_SUBCATEGORIA,ID_FAMILIA,ID_PROVEEDOR,PRODUCTO_CORBETA
DIMENSIONAL DISTRIBUCIONES SAS,11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,0,0,11,11
DIN WAI DIGITAL LIMITED,15,15,15,15,15,15,15,15,0,0,15,15,15,15,15,15,15,15,0,0,15,15
DIPSA FOOD ENERGY REPRESENTACIONES SAS,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
DIRECCION DISTRITAL DE TESORERIA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DIRECCION INTEGRAL DE PROYECTOS SAS,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
DIRICOM SA DE CV,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
DISCURRAMBA SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DISLICORES SAN JUAN DE PASTO SAS,38,38,38,38,38,38,38,38,0,0,38,38,38,38,38,38,38,38,0,0,38,38
DISMIN LTDA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DISNEY,90,90,90,90,90,90,90,90,0,0,90,15,90,90,90,90,90,90,0,0,89,90
DISPEL DISTRIBUIDORA PELEX SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
DISPROVEN SAS,15,15,15,15,15,15,15,15,0,0,15,15,15,15,15,15,15,15,0,0,15,15
DISRETENES Y BALINERAS S.A.S.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DISRUEDAS SAS,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
DISSMO SAS,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
DISTCOL SAS,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
DISTECSA SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
DISTRIBUCIONES AGROKUSURI S.A.S,11,11,11,11,11,11,11,11,0,0,11,0,11,11,11,11,11,11,0,0,11,11
DISTRIBUCIONES JACE S.A.,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
DISTRIBUIDORA  DALSAN S.A,79,79,79,79,79,79,79,79,0,0,79,79,79,79,79,79,79,79,0,0,79,79
DISTRIBUIDORA  REPUESTOS COLOMBIANOS SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
DISTRIBUIDORA ANDINA DE ARTICULOS DEPORT,29,29,29,29,29,29,29,29,0,0,29,29,29,29,29,29,29,29,0,0,29,29
DISTRIBUIDORA COLOMBIA 2012 S.A.S,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,0,0,2,2
DISTRIBUIDORA DE OCCIDENTE LA 23,34,34,34,34,34,34,34,34,0,0,34,0,34,34,34,34,34,34,0,0,34,34
DISTRIBUIDORA DE VINOS Y LICORES S.A.S,50,50,50,50,50,50,50,50,0,0,50,50,50,50,50,50,50,50,0,0,50,50
DISTRIBUIDORA GLX SAS,5,5,5,5,5,5,5,5,0,0,5,0,5,5,5,5,5,5,0,0,5,5
DISTRIBUIDORA SURTILIMA S.A.S,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
DISTRIDARROW S.A.S.,35,35,35,35,35,35,35,35,0,0,35,35,35,35,35,35,35,35,0,0,35,35
DISTRIFARMA DISTRIBUCION FARMACEUTICA .S.A.S,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
DISTRIKOMP S.A.S.,12,12,12,12,12,12,12,12,0,0,12,12,12,12,12,12,12,12,0,0,12,12
DISTRIMARCAS S.A.S.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DISTRIMASCOTAS DEL VALLE,12,12,12,12,12,12,12,12,0,0,12,0,12,12,12,12,12,12,0,0,12,12
DITALIA MOVEIS INDUSTRIAL LTDA,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
DIVERSEY COLOMBIA LIMITADA,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
DIVICAJAS LTDA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DIVISIONES Y CIELO RASOS SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
DLINK LATIN AMERICA CO LTD,18,18,18,18,18,18,18,18,0,0,18,18,18,18,18,18,18,18,0,0,18,18
DNTX CORPORATION,18,18,18,18,18,18,18,18,0,0,18,18,18,18,18,18,18,18,0,0,18,18
DOCMANAGER SOLUTIONS SAS,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
DOG TOYS S A S,63,63,63,63,63,63,63,63,0,0,62,1,63,63,63,63,63,63,0,0,62,63
DOGO S A S,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
DOMINGO ENRIQUE BERNIER MENDEZ,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DON ALMOHADON S.L.,14,14,14,14,14,14,14,14,0,0,14,14,14,14,14,14,14,14,0,0,14,14
DON MAIZ S.A.S,91,91,91,91,91,91,91,91,0,0,91,91,91,91,91,91,91,91,0,0,91,91
DONG GUAN CITY FAR EAST AUDIOCOMPANY LTD,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,0,9,9
DONGBU DAEWOO ELECTRONICS COLOMBIA SAS,38,38,38,38,38,38,38,38,0,0,38,38,38,38,38,38,38,38,0,0,38,38
DONGGUAN HUIYING PLASTIC CO.  LTD,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DONGGUAN JINMA ECONOMIC & TRADE CO LTD.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
DONGGUAN VBO IMPORT & EXPORT COMPANY LTD,39,39,39,39,39,39,39,39,0,0,39,39,39,39,39,39,39,39,0,0,39,39
DONGYANG WANMA TOURIST PRODUCTS CO. LTD,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
DOTAKONDOR S.A.S.,165,165,165,165,165,165,165,165,0,0,165,165,165,165,165,165,165,165,0,0,165,165
DRAXY INTERNATIONAL LTDA.,646,646,646,646,646,646,646,646,0,0,646,646,646,646,646,646,646,646,0,0,646,646
DRUM COLOMBIA S.A.,7,7,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,0,0,7,7
DRY COMFORT CORP SAS,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
DSN Inversiones E.U.,35,35,35,35,35,35,35,35,0,0,35,35,35,35,35,35,35,35,0,0,35,35
DUO DISEO Y ARQUITECTURA SAS,11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,0,0,11,11
DUPERLY ARIEL MARTNEZ VELSQUEZ,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
DUPERLY EVENTOS Y LOGISTICA SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DUVERNEY RAMIREZ GUTIERREZ,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
DUVY,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
DW (QINGYUAN) ELECTRONICS PLASTIC METAL,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,0,9,9
DYVAL  S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Daewoo Electronics De Colombia Ltda,64,64,64,64,64,64,64,64,0,0,64,64,64,64,64,64,64,64,0,0,64,64
Daewoo Motor Colombia S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Daewwo Electronics Corporation,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
Damecos S.A.,152,152,152,152,152,152,152,152,0,0,152,152,152,152,152,152,152,152,0,0,152,152
Daniel J. Lema Vallejo y Ca Ltda.,14,14,14,14,14,14,14,14,0,0,14,14,14,14,14,14,14,14,0,0,14,14
Daniel Toledo & Cia Ltda.,258,258,258,258,258,258,258,258,0,0,258,258,258,258,258,258,258,258,0,0,258,258
Datecsa S.A.,243,243,243,243,243,243,243,243,0,0,243,243,243,243,243,243,243,243,0,0,243,243
David Delgado Carmen Ruby,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
David de Marcillo Bertha,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
Dbnet Software Ltda,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Decisiones Inteligentesen Marketing Ltda,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Deco S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Decoraciones Javasco Ltda.,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Decorceramica,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,0,9,9
Defrescura S.A.S.,44,44,44,44,44,44,44,44,0,0,44,44,44,44,44,44,44,44,0,0,44,44
Degussa Constuction Chemicals Colombia S,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
Del Corral Suescun Ana Cecilia,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Del Monte Colombiana S.A.,17,17,17,17,17,17,17,17,0,0,17,17,17,17,17,17,17,17,0,0,17,17
Delay Ltda,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Delgado Castao Luis Fernando,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Deli Apa S.A.,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
Delicias y Ricuras de Colombia Ltda,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,0,6,6
Delima Marsh SA LOS CORREDORES DE SEGURO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Delimedellin Gourmet S.A.S.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Delimex SA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Delimex de Mxico S.A. De C.V.,7,7,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,0,0,7,7
Dell  Colombia INC,126,126,126,126,126,126,126,126,0,0,126,126,126,126,126,126,126,126,0,0,126,126
Demetalicos S.A.S.,18,18,18,18,18,18,18,18,0,0,18,18,18,18,18,18,18,18,0,0,18,18
Departamento de Antioquia,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Departamento de Nario,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
Deposito El Poblado y Cia Ltda.,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Derilac S.A.,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
Derivados Lcteos Campanella Ltda.,17,17,17,17,17,17,17,17,0,0,17,17,17,17,17,17,17,17,0,0,17,17
Deshidratados S.A.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Desplechin S.A.S.,22,22,22,22,22,22,22,22,0,0,22,22,22,22,22,22,22,22,0,0,22,22
Destileria Nacional S.A.,23,23,23,23,23,23,23,23,0,0,23,23,23,23,23,23,23,23,0,0,23,23
Detalgraf Ltda.,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Detergentes Ltda,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Detergentes Ltda.,66,66,66,66,66,66,66,66,0,0,66,66,66,66,66,66,66,66,0,0,66,66
Dgi & Roch Company Ltda,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Di Carlo S.P.A,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Diagnosticentro Diesel La Montaa S.A.S.,11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,0,0,11,11
Diana Corporacion S.A.S,89,89,89,89,89,89,89,89,0,0,81,89,89,89,89,89,89,89,0,0,89,89
Diaz Alzate Uriel,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Diaz Hernandez Roosevelt,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
Diaz Munoz Adolfo,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Diaz Obando Sandra Milena,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Diaz del Castillo Nader Guido,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
DieselPart Sociedad de Acciones Simplifi,179,179,179,179,179,179,179,179,0,0,179,179,179,179,179,179,179,179,0,0,179,179
Dietrich Huhn Peter,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
Diez Consultores S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Difusora Larousse de Colombia Ltda.,17,17,17,17,17,17,17,17,0,0,17,17,17,17,17,17,17,17,0,0,17,17
Digital Depot de Colombia S.A.,25,25,25,25,25,25,25,25,0,0,25,25,25,25,25,25,25,25,0,0,25,25
Digitron SA,110,110,110,110,110,110,110,110,0,0,110,110,110,110,110,110,110,110,0,0,110,110
Dimark de Colombia S.A.,95,95,95,95,95,95,95,95,0,0,95,95,95,95,95,95,95,95,0,0,95,95
Dimensional Group S.A.S.,22,22,22,22,22,22,22,22,0,0,22,22,22,22,22,22,22,22,0,0,22,22
Dimerco S.A.,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Dinamik Servicios S.A.S.,18,18,18,18,18,18,18,18,0,0,18,18,18,18,18,18,18,18,0,0,18,18
Direct Cachuchas y Bordados Limitada,21,21,21,21,21,21,21,21,0,0,21,21,21,21,21,21,21,21,0,0,21,21
Directv Colombia Ltda.,12,12,12,12,12,12,12,12,0,0,12,12,12,12,12,12,12,12,0,0,12,12
Disa Ltda.,55,55,55,55,55,55,55,55,0,0,55,55,55,55,55,55,55,55,0,0,55,55
Disalco S.A,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
Discentro S.A.S.,28,28,28,28,28,28,28,28,0,0,28,28,28,28,28,28,28,28,0,0,28,28
Diseo y Diversificaciones Electronica S,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Diseos Exclusivos Ltda.,649,649,649,649,649,649,649,649,0,0,649,649,649,649,649,649,649,649,0,0,649,649
Dishegro S.A.S,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Disma S.A.,23,23,23,23,23,23,23,23,0,0,23,23,23,23,23,23,23,23,0,0,23,23
Dispez Amazona Ltda.,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Disproalimentos Ltda.,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Disrodamientos de Colombia S.A.S,31,31,31,31,31,31,31,31,0,0,31,31,31,31,31,31,31,31,0,0,31,31
Dissantamar?a S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Dissantamara S.A.,54,54,54,54,54,54,54,54,0,0,54,54,54,54,54,54,54,54,0,0,54,54
Dist de Carnes y Visceras el Triunfo E.U,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Dist y Represent Tecnicas Andinas Ltda.,20,20,20,20,20,20,20,20,0,0,20,20,20,20,20,20,20,20,0,0,20,20
Dist. De Pescado y Marisco La Sabana S.A,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
Dist. Import. Julio Corredor Andrade SAS,69,69,69,69,69,69,69,69,0,0,69,69,69,69,69,69,69,69,0,0,69,69
Dist. Nal. de Comestibles Disnaco S.A.,15,15,15,15,15,15,15,15,0,0,15,15,15,15,15,15,15,15,0,0,15,15
Distriavicola del Llano E.U.,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
Distrib. De Lubricantes y Combustibles,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Distribuciones Axa S.A.,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Distribuciones Edal Ltda.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Distribuciones Gabe Antioquia LTDA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Distribuciones Jace S.A.,101,101,101,101,101,101,101,101,0,0,101,101,101,101,101,101,101,101,0,0,101,101
Distribuciones P C J Ltda.,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,0,6,6
Distribuciones Topalxe Ltda.,43,43,43,43,43,43,43,43,0,0,43,43,43,43,43,43,43,43,0,0,43,43
Distribuidora Andina Ltda,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,0,6,6
Distribuidora Auto Special Ltda,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Distribuidora Avicola S.A.,73,73,73,73,73,73,73,73,0,0,73,73,73,73,73,73,73,73,0,0,73,73
Distribuidora Dimex S.A.S.,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,0,9,9
Distribuidora Doa Elena  S.A.,12,12,12,12,12,12,12,12,0,0,12,12,12,12,12,12,12,12,0,0,12,12
Distribuidora Hospitalariade Nario Ltda,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Distribuidora Ilimitada Ltda,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Distribuidora Jorge Mario Uribe G.S.A.,29,29,29,29,29,29,29,29,0,0,29,29,29,29,29,29,29,29,0,0,29,29
Distribuidora Los Coches La Sabana SA,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Distribuidora Nerpel Ltda.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Distribuidora Oriental de Colombia Ltda,39,39,39,39,39,39,39,39,0,0,39,39,39,39,39,39,39,39,0,0,39,39
Distribuidora Proveemos del Sur Ltda,75,75,75,75,75,75,75,75,0,0,75,75,75,75,75,75,75,75,0,0,75,75
Distribuidora Salgar Ltda,24,24,24,24,24,24,24,24,0,0,24,24,24,24,24,24,24,24,0,0,24,24
Distribuidora Sema S.A.S.,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,0,6,6
Distribuidora Tropillano S.A.S.,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Distribuidora de Confites S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Distribuidora de Licores Limitada,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Distribuidora de Papeles S.A.,69,69,69,69,69,69,69,69,0,0,69,69,69,69,69,69,69,69,0,0,69,69
Distribuidora de Rodamientos S.A,18,18,18,18,18,18,18,18,0,0,18,18,18,18,18,18,18,18,0,0,18,18
Distribuidora de Vinos Y Licores S.A.S,86,86,86,86,86,86,86,86,0,0,86,86,86,86,86,86,86,86,0,0,86,86
Distribuidoras Unidas S.A.,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
Distribuidores Unica Ltda.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Distributor Operations South America,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Districalc Ltda.,24,24,24,24,24,24,24,24,0,0,24,24,24,24,24,24,24,24,0,0,24,24
Distrigases Ltda,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Diswafer Ltda.,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Diveo De Colombia S.A.S.,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Division Electrica Industrial S.A.S.,248,248,248,248,248,248,248,248,0,0,248,248,248,248,248,248,248,248,0,0,248,248
Diyang Imp & Exp Co. Ltd.,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,0,6,6
Doblamos S.A,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
Docuprint S.A.S.,17,17,17,17,17,17,17,17,0,0,17,17,17,17,17,17,17,17,0,0,17,17
Dollz SportWear Inc,13,13,13,13,13,13,13,13,0,0,13,13,13,13,13,13,13,13,0,0,13,13
Domestic Zoo S.A.S,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Domicity S.A.S.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Dominguez de Gordillo Elisa,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Domivueltas E.U.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Dong Yuyang,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
Dongbu Daewoo Electronics Caribbean Inc,13,13,13,13,13,13,13,13,0,0,13,13,13,13,13,13,13,13,0,0,13,13
Doralba Lopez De Henao,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Doro Ltda.,12,12,12,12,12,12,12,12,0,0,12,12,12,12,12,12,12,12,0,0,12,12
Dos Hermanos Ltda.,35,35,35,35,35,35,35,35,0,0,35,35,35,35,35,35,35,35,0,0,35,35
Dotaciones De America E.U.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Dotaciones Pilar Andrea Ltda,132,132,132,132,132,132,132,132,0,0,132,132,132,132,132,132,132,132,0,0,132,132
Drolicores Ltda,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
Drypers Andina S.A.,83,83,83,83,83,83,83,83,0,0,83,83,83,83,83,83,83,83,0,0,83,83
Drypers Limited Sucursal Colombia,11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,0,0,11,11
Duarte Duarte Pedro Alejandro,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Duarte Quiones Dora Rocio,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Ducon SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Dulces de Colombia S.A.,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
Duque Peuela Claudio Ral,14,14,14,14,14,14,14,14,0,0,14,14,14,14,14,14,14,14,0,0,14,14
Duque Zuluaga Jhon Dario,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Duque Zuluaga Julian Dario,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Duquesa S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Duran Bohorquez Eduard Alberto,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Durespo S.A.,50,50,50,50,50,50,50,50,0,0,50,50,50,50,50,50,50,50,0,0,50,50
Dynacad Ltda,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Dysma Ltda.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
E MC Allister S.A.S.,131,131,131,131,131,131,131,131,0,0,131,131,131,131,131,131,131,131,0,0,131,131
E QUATRO S.A.S.,39,39,39,39,39,39,39,39,0,0,27,15,39,39,39,39,39,39,0,0,37,39
E Y P DE COLOMBIA SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
E&S INTERNATIONAL,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
E-GROUP COLOMBIA SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
E-STAR EXPERIENCIA  DE ALTO NIVEL SAS,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
E.C.F. ROSSI Y CIA S.A.S.,3,3,3,3,3,3,3,3,0,0,3,0,3,3,3,3,3,3,0,0,3,3
E.QUATRO S.A.S.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
E.Quatro S.A.S.,106,106,106,106,106,106,106,106,0,0,106,106,106,106,106,106,106,106,0,0,106,106
E.T. BROWNE DRUG COMPANY,14,14,14,14,14,14,14,14,0,0,14,0,14,14,14,14,14,14,0,0,14,14
EA STRATEGY SOCIEDAD POR ACCIONES SIMPLI,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
EB y GH Compaia Ltda.,48,48,48,48,48,48,48,48,0,0,48,48,48,48,48,48,48,48,0,0,48,48
EBF VAZ Industria e Comercio Ltda,35,35,35,35,35,35,35,35,0,0,35,35,35,35,35,35,35,35,0,0,35,35
ECOBEL ECUATORIANA DE COLOR Y BELLEZA S.A - GENERA,22,22,22,22,22,22,22,22,0,0,22,0,22,22,22,22,22,22,0,0,22,22
ECOLAB COLOMBIA SA,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
ECOLOGIA Y ENTORNO SAS ESP ECOENTORNO,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ECOSOFT,13,13,13,13,13,13,13,13,0,0,8,6,13,13,13,13,13,13,0,0,12,13
EDGAR ANTONIO OVIEDO GUZMAN,483,483,483,483,483,483,483,483,0,0,483,483,483,483,483,483,483,483,0,0,483,483
EDGAR CERON MENDEZ,106,106,106,106,106,106,106,106,0,0,106,106,106,106,106,106,106,106,0,0,106,106
EDGAR HERNANDEZ RIVEROS,13,13,13,13,13,13,13,13,0,0,13,13,13,13,13,13,13,13,0,0,13,13
EDGAR LOZANO ESPINOSA,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
